Date,1. open,2. high,3. low,4. close,5. volume
2012-12-31,593.6500,594.5900,501.2300,532.1729,433312600
2012-11-30,598.2200,603.0000,505.7501,585.2800,461780400
2012-10-31,671.5000,676.7500,587.7000,595.3200,433672500
2012-09-28,665.7600,705.0700,656.0000,667.1050,328535900
2012-08-31,615.9050,680.8700,600.2500,665.2400,295578800
2012-07-31,584.7300,619.8700,570.0000,610.7600,318201800
2012-06-29,569.1600,590.0000,548.5000,584.0000,280565200
2012-05-31,584.9000,596.7600,522.1800,577.7300,396655200
2012-04-30,601.8300,644.0000,555.0000,583.9800,557106800
2012-03-30,548.1700,621.4500,516.2210,599.5500,556583500
2012-02-29,458.4100,547.6100,453.9800,542.4400,406019800
2012-01-31,409.4000,458.2400,409.0000,456.4800,244994800
