Date,1. open,2. high,3. low,4. close,5. volume
2015-12-31,118.7500,119.8600,104.8200,105.2600,922626259
2015-11-30,119.8700,123.8200,111.0000,118.3000,750606735
2015-10-30,109.0700,121.2200,107.3100,119.5000,1113703829
2015-09-30,110.1800,116.8900,107.3600,109.9500,1203789074
2015-08-31,121.5000,122.5700,92.0000,112.7600,1606359115
2015-07-31,126.9000,132.9700,119.2200,121.3000,1058280697
2015-06-30,131.2000,131.3900,124.4800,125.4250,878606841
2015-05-29,126.1000,132.9700,123.3600,130.2800,954152126
2015-04-30,124.8200,134.5400,123.1000,125.1500,996135511
2015-03-31,129.2500,130.2800,121.6300,124.4300,1138641910
2015-02-27,118.0500,133.6000,116.0800,128.4600,1136535493
2015-01-30,111.3900,120.0000,104.6300,117.1600,1304879185
