Date,1. open,2. high,3. low,4. close,5. volume
2013-12-31,399.0000,405.6300,379.5000,398.7900,55686700
2013-11-29,365.6300,394.0999,341.8800,393.6200,54207700
2013-10-31,314.2200,368.4000,296.5025,364.0300,77295400
2013-09-30,284.7300,320.5700,284.1700,312.6400,43468800
2013-08-30,303.0800,306.2100,279.3300,280.9800,43773900
2013-07-31,279.0000,313.6200,277.1600,301.2200,67536900
2013-06-28,268.9600,283.3400,262.9500,277.6900,58575800
2013-05-31,253.9000,271.9100,245.7500,269.2000,59050500
2013-04-30,266.9800,275.8000,248.5600,253.8100,76916200
2013-03-28,263.2700,277.4000,252.0700,266.4900,58505700
2013-02-28,268.9300,274.3000,255.1100,264.2700,68661700
2013-01-31,256.0800,284.7200,253.2600,265.5000,84226400
