Date,1. open,2. high,3. low,4. close,5. volume
2013-12-31,38.0900,38.9800,35.5300,37.4100,826617700
2013-11-29,35.6700,38.2900,35.3900,38.1300,800431600
2013-10-31,33.3500,36.2900,32.8000,35.4050,965331500
2013-09-30,31.7500,33.7500,30.9500,33.2800,1242961500
2013-08-30,32.0600,35.2000,30.8400,33.4000,1051265000
2013-07-31,34.7500,36.4299,31.0200,31.8400,1111130600
2013-06-28,34.9200,35.7800,32.5700,34.5450,945155500
2013-05-31,32.9300,35.2800,32.3200,34.9000,1071860000
2013-04-30,28.6400,33.1100,28.1100,33.1000,1322883228
2013-03-28,27.7200,28.6600,27.5200,28.6050,844946000
2013-02-28,27.6700,28.2000,27.1000,27.8000,780587000
2013-01-31,27.2500,28.2300,26.2800,27.4500,1145054400
