Date,1. open,2. high,3. low,4. close,5. volume
2006-12-29,91.8000,92.3300,76.7700,84.8400,603242600
2006-11-30,81.1000,93.1590,77.7900,91.6600,494103000
2006-10-31,75.1000,82.6000,72.6000,81.0800,513855600
2006-09-29,68.4800,77.7800,67.8200,76.9800,632912800
2006-08-31,67.2200,70.0000,62.5800,67.8500,638844500
2006-07-31,57.5200,68.6300,50.1600,67.9600,624276500
2006-06-30,59.8500,63.1000,55.4100,57.2700,640593700
2006-05-31,70.7800,73.8000,58.6900,59.7700,557456400
2006-04-28,63.6600,72.0500,61.0500,70.3900,718545800
2006-03-31,69.0000,69.9900,57.6700,62.7200,828308300
2006-02-28,75.0000,76.4600,62.9000,68.4900,670024900
2006-01-31,72.3320,86.4000,70.8700,75.5100,781370400
