Date,1. open,2. high,3. low,4. close,5. volume
2020-12-31,121.0100,138.7890,120.0100,132.6900,2319687808
2020-11-30,109.1100,121.9900,107.3200,119.0500,2122724412
2020-10-30,117.6400,125.3900,107.7200,108.8600,2895317580
2020-09-30,132.7600,137.9800,103.1000,115.8100,3886793083
2020-08-31,432.8000,515.1400,126.0000,129.0400,1184207050
2020-07-31,365.1200,425.6600,356.5800,425.0400,755162226
2020-06-30,317.7500,372.3800,317.2100,364.8000,810900890
2020-05-29,286.2500,324.2400,285.8500,317.9400,701660022
2020-04-30,246.5000,294.5300,236.9000,293.8000,816530808
2020-03-31,282.2800,304.0000,212.6100,254.2900,1570331732
2020-02-28,304.3000,327.2200,256.3700,273.3600,755223231
2020-01-31,296.2400,327.8500,292.7500,309.5100,734044103
