Date,1. open,2. high,3. low,4. close,5. volume
2011-12-30,382.5400,409.0900,377.6800,405.0000,225233300
2011-11-30,397.4100,408.0000,363.3200,382.2000,320132200
2011-10-31,380.3700,426.7000,354.2400,404.7800,469336700
2011-09-30,385.8200,422.8600,366.4800,381.3200,427766000
2011-08-31,397.7800,399.5000,353.0200,384.8300,576521400
2011-07-29,335.9500,404.5000,334.2000,390.4800,380498100
2011-06-30,348.8700,352.1320,310.5000,335.6700,330851800
2011-05-31,349.7400,351.8300,329.4200,347.8300,246859300
2011-04-29,351.1100,355.1300,320.1600,350.1300,330493900
2011-03-31,355.4700,361.6700,326.2600,348.5075,403802100
2011-02-28,341.3000,364.9000,337.7200,353.2100,331998200
2011-01-31,325.6400,348.6000,324.8365,339.3200,387197700
