Date,1. open,2. high,3. low,4. close,5. volume
2017-12-29,169.9500,177.2000,166.4600,169.2300,518560008
2017-11-30,169.8700,176.2400,165.2800,171.8500,581374608
2017-10-31,154.2600,169.6499,152.4600,169.0400,496135305
2017-09-29,164.8000,164.9400,149.1600,154.1200,669594016
2017-08-31,149.1000,164.5200,148.4100,164.0000,638221161
2017-07-31,144.8800,153.9900,142.4100,148.7300,411377229
2017-06-30,153.1700,155.9800,142.2000,144.0200,664986406
2017-05-31,145.1000,156.6500,144.2700,152.7600,635292989
2017-04-28,143.7100,145.4600,140.0600,143.6500,371280180
2017-03-31,137.8900,144.5000,137.0500,143.6600,562091214
2017-02-28,127.0300,137.4800,127.0100,136.9900,574968547
2017-01-31,115.8000,122.4400,114.7600,121.3500,563331160
