Date,1. open,2. high,3. low,4. close,5. volume
2001-12-31,11.0800,12.8000,9.5100,10.8200,212455500
2001-11-30,7.0800,12.4000,6.6000,11.3200,310965300
2001-10-31,5.9100,9.9900,5.5100,6.9800,169882800
2001-09-28,8.9500,9.1900,5.6700,5.9700,126843400
2001-08-31,12.7300,12.8600,8.5500,8.9400,100687300
2001-07-31,14.1000,17.4200,11.0700,12.4900,172078700
2001-06-29,17.2200,17.9200,11.2000,14.1500,136695900
2001-05-31,15.9000,17.6000,13.1000,16.6900,144686700
2001-04-30,10.3300,18.1600,8.1000,15.7800,189780400
2001-03-30,9.8750,14.0000,9.5630,10.2300,167635900
2001-02-28,17.1900,17.1900,9.9380,10.1900,167374100
2001-01-31,15.8100,22.3800,13.5600,17.3100,210486800
