Date,1. open,2. high,3. low,4. close,5. volume
2005-12-30,27.7300,28.1010,26.1000,26.1500,1271695500
2005-11-30,25.6100,28.2500,25.6100,27.6800,1444948300
2005-10-31,25.7100,25.8000,24.2500,25.7000,1439659900
2005-09-30,27.3800,27.3900,25.1200,25.7300,1348861500
2005-08-31,25.8200,27.9400,25.7600,27.3800,1441979300
2005-07-29,24.8500,26.4800,24.5000,25.6100,1321407700
2005-06-30,25.7300,26.0000,24.8200,24.8400,1303029500
2005-05-31,25.2300,26.0900,24.3100,25.8000,1270563700
2005-04-29,24.2400,25.4500,23.9400,25.3000,1520253700
2005-03-31,25.2000,25.7900,23.8200,24.1700,1541411300
2005-02-28,26.2500,26.5000,25.1296,25.1600,1361126000
2005-01-31,26.8000,27.1000,25.6400,26.2800,1521414300
