Date,1. open,2. high,3. low,4. close,5. volume
2000-12-29,58.0600,60.6300,40.3100,43.3800,1028334100
2000-11-30,68.5000,72.3700,57.0000,57.3800,991731300
2000-10-31,60.5000,70.1200,48.4400,68.8700,1234707800
2000-09-29,70.0000,72.0600,58.6300,60.3100,712766900
2000-08-31,69.9400,74.8700,68.1200,69.8100,609699900
2000-07-31,79.6900,82.8700,67.2500,69.8100,617092900
2000-06-30,64.3700,82.1900,63.8100,80.0000,733525100
2000-05-31,72.8700,74.0000,60.3800,62.5600,672215400
2000-04-28,94.4400,96.5000,65.0000,69.7500,1129073300
2000-03-31,89.6200,115.0000,88.9400,106.2500,1014093800
2000-02-29,98.5000,110.0000,88.1200,89.3700,667243800
2000-01-31,117.3700,118.6200,94.8700,97.8700,637437600
