Date,1. open,2. high,3. low,4. close,5. volume
2003-12-31,21.0400,21.9000,19.2500,21.3700,97390600
2003-11-28,22.8300,23.3000,19.8500,20.9100,88823300
2003-10-31,20.7500,25.0110,20.1900,22.8900,125717700
2003-09-30,22.6600,23.3200,20.1490,20.7200,95490800
2003-08-29,21.0000,22.8500,19.4200,22.6100,76920800
2003-07-31,18.8700,21.5700,18.5100,21.0800,93183400
2003-06-30,18.1000,19.6900,16.6300,19.0600,109166700
2003-05-30,14.2500,19.0000,14.0000,17.9500,193063300
2003-04-30,14.2000,14.9500,12.7200,14.2200,138845400
2003-03-31,15.0100,15.1600,14.0400,14.1400,71935800
2003-02-28,14.4100,15.3000,13.8000,15.0100,73469700
2003-01-31,14.3600,15.3800,13.5600,14.3600,107961300
