Date,1. open,2. high,3. low,4. close,5. volume
2015-12-31,673.7500,696.4400,635.2700,675.8900,90220804
2015-11-30,627.1300,682.7700,620.4100,664.8000,87301503
2015-10-30,511.0000,630.7200,506.0000,625.9000,97188843
2015-09-30,499.1400,549.7800,490.5000,511.8900,76602841
2015-08-31,537.4500,542.7400,451.0000,512.8900,82893196
2015-07-31,439.3500,580.5700,425.5700,536.1500,102069942
2015-06-30,430.4000,447.0400,419.1400,434.0900,54989227
2015-05-29,423.8200,439.0000,414.5500,429.2300,51984199
2015-04-30,372.1000,452.6500,368.3400,421.7800,84404887
2015-03-31,380.8500,388.4182,365.6500,372.1000,55502746
2015-02-27,350.0500,389.3700,350.0100,380.1600,70847240
2015-01-30,312.5800,359.5000,285.2500,354.5300,103040529
