Date,1. open,2. high,3. low,4. close,5. volume
2019-12-31,1804.4000,1901.4000,1735.0000,1847.8400,68522009
2019-11-29,1788.0100,1824.6900,1722.7100,1800.8000,52060472
2019-10-31,1746.0000,1798.8500,1685.0600,1776.6600,71821008
2019-09-30,1770.0000,1853.6600,1709.2200,1735.9100,62003799
2019-08-30,1871.7200,1897.9200,1743.5100,1776.2900,79978762
2019-07-31,1922.9800,2035.8000,1849.4400,1866.7800,73190780
2019-06-28,1760.0100,1935.2000,1672.0000,1893.6300,74746589
2019-05-31,1933.0900,1964.4000,1772.7000,1775.0700,98214360
2019-04-30,1800.1100,1956.3400,1798.7300,1926.5200,81293632
2019-03-29,1655.1300,1823.7500,1586.5700,1780.7500,100832035
2019-02-28,1638.8800,1673.0600,1566.7600,1639.8300,80936924
2019-01-31,1465.2000,1736.4100,1460.9300,1718.7300,134015530
