Date,1. open,2. high,3. low,4. close,5. volume
2014-12-31,338.1200,340.6400,293.0300,310.3500,86874154
2014-11-28,306.2400,341.2600,292.2900,338.6400,68993021
2014-10-31,322.0400,325.1600,284.0000,305.4600,111120640
2014-09-30,339.9800,349.3800,317.6400,322.4400,68006506
2014-08-29,313.6900,346.6700,304.5880,339.0400,62015200
2014-07-31,325.8600,364.8500,311.8600,312.9900,99337300
2014-06-30,312.5900,340.7199,303.8400,324.7800,76493200
2014-05-30,304.1300,314.8700,284.3800,312.5500,78579200
2014-04-30,338.0900,348.2950,288.0000,304.1300,138278700
2014-03-31,358.7350,383.1100,330.8800,336.3650,75253500
2014-02-28,358.9800,365.8650,337.7300,362.1000,83009000
2014-01-31,398.8000,408.0600,357.7600,358.6900,81011900
