Date,1. open,2. high,3. low,4. close,5. volume
2010-12-31,179.1600,185.6500,173.0900,180.0000,93661700
2010-11-30,164.4500,181.8425,156.7700,175.4000,131011400
2010-10-29,157.0600,171.9900,151.4000,165.2300,142883500
2010-09-30,126.3600,161.7800,126.1700,157.0600,134321000
2010-08-31,119.1500,130.8100,117.5700,124.8300,113419800
2010-07-30,108.9000,124.8800,105.8000,117.8900,175326200
2010-06-30,124.9700,129.1500,106.0100,109.2600,133378500
2010-05-28,137.2000,139.4400,117.5200,125.4600,140909900
2010-04-30,135.8000,151.0900,130.7800,137.1000,173025100
2010-03-31,118.8500,138.1900,117.5300,135.7700,158042600
2010-02-26,123.1800,124.8600,113.8200,118.4000,210145800
2010-01-29,136.2500,136.6100,118.1200,125.4100,230861000
