Date,1. open,2. high,3. low,4. close,5. volume
2016-12-30,110.3650,118.0166,108.2500,115.8200,608771645
2016-11-30,113.4600,113.7700,104.0800,110.5200,721554967
2016-10-31,112.7100,118.6900,112.2800,113.5400,686914224
2016-09-30,106.1400,116.1800,102.5300,113.0500,970096738
2016-08-31,104.4100,110.2300,104.0000,106.1000,630128567
2016-07-29,95.4900,104.5500,94.3700,104.2100,685779613
2016-06-30,99.0200,101.8900,91.5000,95.6000,780630235
2016-05-31,93.9650,100.7300,89.4700,99.8600,901144768
2016-04-29,108.7800,112.3900,92.5100,93.7400,872383623
2016-03-31,97.6500,110.4200,97.4200,108.9900,745756771
2016-02-29,96.4700,98.8900,92.5900,96.6900,810862547
2016-01-29,102.6100,105.8500,92.3900,97.3400,1271848087
