Date,1. open,2. high,3. low,4. close,5. volume
2008-12-31,91.3000,103.6000,84.5500,85.3500,721923100
2008-11-28,105.9300,111.7900,79.1400,92.6700,843552200
2008-10-31,111.9200,116.4000,85.0000,107.5900,1479525400
2008-09-30,172.4000,173.5000,100.5900,113.6600,859555800
2008-08-29,159.9400,180.4500,152.9100,169.5300,467348400
2008-07-31,164.0500,180.9100,146.5300,158.9500,705348600
2008-06-30,188.5000,189.9500,164.1500,167.4400,695564100
2008-05-30,175.0100,192.2400,172.0000,188.7500,663864800
2008-04-30,146.3000,180.0000,143.6100,173.9500,813820800
2008-03-31,124.4400,145.7400,118.0000,143.5000,818831200
2008-02-29,136.2400,136.5900,115.4400,125.0200,888069800
2008-01-31,199.2700,200.2600,126.1400,135.3600,1256210300
