Date,1. open,2. high,3. low,4. close,5. volume
2001-12-31,63.8300,69.8900,63.8000,66.2500,488544500
2001-11-30,60.0800,68.3400,59.6000,64.2100,665484300
2001-10-31,50.9400,63.6300,50.4100,58.1500,875445500
2001-09-28,57.1900,59.0800,47.5000,51.1700,755412200
2001-08-31,66.8000,67.5400,56.3000,57.0500,576948200
2001-07-31,72.0500,73.1500,64.2000,66.1900,727600500
2001-06-29,69.6000,76.1500,66.0100,73.0000,724588900
2001-05-31,67.6600,72.1500,67.2500,69.1800,888652900
2001-04-30,54.8100,71.1000,51.0600,67.7500,1037903500
2001-03-30,58.5600,61.1300,49.7500,54.6900,947674900
2001-02-28,60.8100,65.0600,53.8800,59.0000,768447800
2001-01-31,44.1300,64.7500,42.8800,61.0600,1002765600
