Date,1. open,2. high,3. low,4. close,5. volume
2016-12-30,752.4100,782.4600,736.7000,749.8700,73660584
2016-11-30,799.0000,800.8400,710.1000,750.5700,110085967
2016-10-31,836.0000,847.2100,774.6100,789.8200,77063812
2016-09-30,770.9000,839.9500,756.0000,837.3100,67354133
2016-08-31,759.8700,774.9800,750.3500,769.1600,50000397
2016-07-29,717.3200,766.0000,716.5400,758.8100,68635440
2016-06-30,720.9000,731.5000,682.1150,715.6200,74556809
2016-05-31,663.9200,724.2300,656.0000,722.7900,90623145
2016-04-29,590.4900,669.9800,585.2500,659.5900,78464320
2016-03-31,556.2900,603.2400,538.5800,593.6400,93964682
2016-02-29,578.1500,581.8000,474.0000,552.5200,124144797
2016-01-29,656.2900,657.7150,547.1800,587.0000,130200780
