Date,1. open,2. high,3. low,4. close,5. volume
2000-12-29,24.9400,27.6300,14.8800,15.5600,202112900
2000-11-30,35.8100,40.8800,22.1300,24.6900,159338900
2000-10-31,38.1900,38.4400,19.3800,36.6300,246733500
2000-09-29,42.1300,49.6300,35.5000,38.4400,133739700
2000-08-31,30.6300,43.9700,29.3100,41.5000,144464700
2000-07-31,36.6900,43.9400,27.8800,30.1300,198524600
2000-06-30,48.8800,58.1300,32.4700,36.3100,203140900
2000-05-31,56.0000,62.3800,40.4400,49.9400,130688600
2000-04-28,65.4400,68.6300,40.8100,55.1900,162012500
2000-03-31,67.6300,75.1300,60.0000,67.0000,156584600
2000-02-29,67.5000,85.9400,63.0600,68.8800,207457700
2000-01-31,81.5000,91.5000,58.4400,64.5600,262209000
