,Date,1. open,2. high,3. low,4. close,5. volume
11,2020-12-31,214.5100,227.1800,209.1100,222.4200,593966967
12,2020-11-30,204.2900,228.1200,200.1200,214.0700,573325190
13,2020-10-30,213.4900,225.2100,199.6200,202.4700,631674298
14,2020-09-30,225.5100,232.8600,196.2500,210.3300,768528897
15,2020-08-31,211.5200,231.1500,203.1400,225.5300,692382980
16,2020-07-31,203.1400,216.3800,197.5100,205.0100,769842002
17,2020-06-30,182.5400,204.4000,181.3500,203.5100,765012029
18,2020-05-29,175.8000,187.5100,173.8000,183.2500,688873081
19,2020-04-30,153.0000,180.4000,150.3600,179.2100,984810925
20,2020-03-31,165.3100,175.0000,132.5200,157.7100,1612954386
21,2020-02-28,170.4300,190.7000,152.0000,162.0100,887894931
22,2020-01-31,158.7800,174.0500,156.5100,170.2300,555989763
