Date,1. open,2. high,3. low,4. close,5. volume
2021-11-17,3361.8000,3605.4500,3283.5500,3549.0000,43858176
2021-10-29,3289.0100,3479.0000,3176.2500,3372.4300,63680713
2021-09-30,3496.3960,3549.9900,3273.9900,3285.0400,62540133
2021-08-31,3353.1000,3472.5800,3175.7600,3470.7900,62844829
2021-07-30,3434.6100,3773.0782,3306.9800,3327.5900,82554006
2021-06-30,3243.4950,3524.8599,3172.2000,3440.1600,66960544
2021-05-28,3484.7300,3486.6450,3127.3700,3223.0700,75191624
2021-04-30,3117.9400,3554.0000,3115.5500,3467.4200,76843571
2021-03-31,3127.8900,3182.0000,2881.0001,3094.0800,78204991
2021-02-26,3242.3600,3434.0000,3036.7000,3092.9300,70893385
2021-01-29,3270.0000,3363.8900,3086.0000,3206.2000,71427780
