Date,1. open,2. high,3. low,4. close,5. volume
2004-12-31,67.7900,67.9500,61.6000,64.4000,284796700
2004-11-30,52.5000,69.5700,52.0400,67.0500,311421500
2004-10-29,39.1500,53.2000,37.6500,52.4000,287399400
2004-09-30,34.3000,39.2700,34.1900,38.7500,137026900
2004-08-31,31.1800,35.1800,29.7000,34.4900,143060100
2004-07-30,32.0800,33.6300,28.7400,32.3400,173153200
2004-06-30,27.7900,34.1900,27.6100,32.5400,146914900
2004-05-28,26.0000,28.7800,25.5000,28.0600,94719200
2004-04-30,26.9000,29.5800,25.4900,25.7800,159467400
2004-03-31,24.0900,28.1400,23.6000,27.0400,207609200
2004-02-27,22.4600,24.1000,21.7000,23.9200,87893400
2004-01-30,21.5500,24.8400,21.1800,22.5600,141567900
