Date,1. open,2. high,3. low,4. close,5. volume
2002-12-31,15.9000,16.1000,13.7800,14.3300,80900700
2002-11-29,15.9400,17.3800,15.0100,15.5000,80923600
2002-10-31,14.5900,16.4400,13.3600,16.0700,118061300
2002-09-30,14.4900,15.1900,14.0500,14.5000,94497100
2002-08-30,15.1100,16.2500,13.9700,14.7500,91994400
2002-07-31,17.7100,18.7900,13.8000,15.2600,144971700
2002-06-28,23.3900,23.4500,15.9800,17.7200,155500300
2002-05-31,24.2900,25.9800,22.1400,23.3000,106717100
2002-04-30,24.7000,26.1700,23.0000,24.2700,114693500
2002-03-28,21.9300,25.3000,21.8200,23.6700,94974700
2002-02-28,24.9600,25.9800,20.9400,21.7000,139954000
2002-01-31,22.0500,24.7300,20.2600,24.7200,152060300
