Date,1. open,2. high,3. low,4. close,5. volume
2005-12-30,68.9500,75.4600,68.8100,71.8900,466577300
2005-11-30,57.2400,71.0700,56.8700,67.8200,480586700
2005-10-31,54.1600,57.9800,47.8700,57.5900,665837400
2005-09-30,47.0000,54.5600,46.0900,53.6100,440991800
2005-08-31,42.6000,48.3300,42.0200,46.8900,335743100
2005-07-29,36.8300,44.3800,36.2900,42.6500,360508800
2005-06-30,39.8900,40.7600,35.5200,36.8100,404542700
2005-05-31,36.2100,40.9400,33.1100,39.7593,459224800
2005-04-29,42.0900,44.4500,34.0000,36.0600,691982800
2005-03-31,44.9900,45.1100,38.8300,41.6700,524140000
2005-02-28,77.0500,90.8800,43.9600,44.8600,383016900
2005-01-31,64.7800,77.8900,62.6000,76.9000,459075800
