Date,1. open,2. high,3. low,4. close,5. volume
2002-12-31,24.1500,25.0000,18.4300,18.8900,155610600
2002-11-29,19.2900,24.5000,18.2000,23.3500,206336300
2002-10-31,16.2300,20.2600,16.0100,19.3500,203538600
2002-09-30,14.7100,17.9300,14.2400,15.9300,146027000
2002-08-30,14.3100,15.9900,12.7800,14.9400,115341600
2002-07-31,16.1700,17.1600,12.2600,14.4600,176592200
2002-06-28,18.3100,19.1600,14.6800,16.2500,142617800
2002-05-31,16.5500,20.4000,15.7500,18.2300,154840500
2002-04-30,14.8000,17.0500,12.5200,16.6900,158958600
2002-03-28,14.1300,16.9600,13.5500,14.3000,164817800
2002-02-28,14.0900,14.7500,11.0600,14.1000,163988900
2002-01-31,10.9400,15.7700,9.0300,14.1900,322739200
