Date,1. open,2. high,3. low,4. close,5. volume
2018-12-31,113.0000,113.4200,93.9600,101.5700,944287635
2018-11-30,107.0500,112.2400,99.3500,110.8900,720228643
2018-10-31,114.7500,116.1800,100.1100,106.8100,927547942
2018-09-28,110.8500,115.2900,107.2300,114.3700,480255674
2018-08-31,106.0300,112.7800,104.8400,112.3300,456630721
2018-07-31,98.1000,111.1500,98.0000,106.0800,569501573
2018-06-29,99.2800,102.6900,97.2600,98.6100,602585341
2018-05-31,93.2100,99.9900,92.4500,98.8400,509418119
2018-04-30,90.4700,97.9000,87.5100,93.5200,668258570
2018-03-29,93.9900,97.2400,87.0800,91.2700,732866406
2018-02-28,94.7900,96.0700,83.8300,93.7700,690287596
2018-01-31,86.1300,95.4500,85.5000,95.0100,543377322
