Date,1. open,2. high,3. low,4. close,5. volume
2003-12-31,54.4000,54.9400,47.0000,52.6200,193675200
2003-11-28,54.8000,57.4900,47.6700,53.9700,181979000
2003-10-31,48.3700,61.1500,47.5100,54.4300,288225300
2003-09-30,46.5200,51.3000,44.7300,48.4300,202836400
2003-08-29,41.4100,46.9500,38.2800,46.3200,150718900
2003-07-31,36.3300,43.1000,34.0000,41.6400,229239500
2003-06-30,36.5000,37.2400,32.8300,36.3200,171470800
2003-05-30,28.6800,36.0900,28.1500,35.8900,190833800
2003-04-30,25.5500,29.1900,24.1300,28.6900,219644300
2003-03-31,22.1500,28.0400,21.3600,26.0300,164093600
2003-02-28,21.9400,22.5000,19.6100,22.0100,115941900
2003-01-31,19.1900,23.2900,18.5500,21.8500,169197200
