Date,1. open,2. high,3. low,4. close,5. volume
2005-12-30,48.8800,50.0010,47.1400,47.1500,121167800
2005-11-30,39.9700,49.4300,39.6500,48.4600,216455300
2005-10-31,45.3300,47.0000,38.7200,39.8600,146980100
2005-09-30,42.5200,45.8400,40.5000,45.3000,104700400
2005-08-31,44.8800,46.9700,41.9100,42.7000,114751100
2005-07-29,33.2400,45.8100,32.7900,45.1500,182601100
2005-06-30,35.5700,36.9900,32.9300,33.0900,106233600
2005-05-31,32.3000,36.0400,32.1000,35.5100,116947800
2005-04-29,34.6300,35.3400,30.6000,32.3600,162491300
2005-03-31,35.0600,36.5000,32.8200,34.2700,119566600
2005-02-28,43.0000,43.5900,33.2000,35.1800,218655100
2005-01-31,44.9500,45.4400,40.2600,43.2200,194935200
