Date,1. open,2. high,3. low,4. close,5. volume
2019-12-31,267.2700,293.9700,256.2900,293.6500,598871365
2019-11-29,249.5400,268.0000,249.1600,267.2500,448922253
2019-10-31,225.0700,249.7500,215.1300,248.7600,621478768
2019-09-30,206.4300,226.4200,204.2200,223.9700,547408488
2019-08-30,213.9000,218.0300,192.5800,208.7400,683515746
2019-07-31,203.1700,221.3700,198.4100,213.0400,473957094
2019-06-28,175.6000,201.5700,170.2700,197.9200,515218768
2019-05-31,209.8800,215.3100,174.9900,175.0700,739456573
2019-04-30,191.6400,208.4800,188.3800,200.6700,506117812
2019-03-29,174.2800,197.6900,169.5000,189.9500,650981384
2019-02-28,166.9600,175.8700,165.9300,173.1500,472540723
2019-01-31,154.8900,169.0000,142.0000,166.4400,828099179
