Date,1. open,2. high,3. low,4. close,5. volume
2015-12-31,54.4100,56.8500,53.6800,55.4800,793070000
2015-11-30,52.8500,54.9800,52.5300,54.3500,662622220
2015-10-30,44.7500,54.3700,43.7500,52.6400,857330655
2015-09-30,42.2300,45.0000,41.6600,44.2000,670779566
2015-08-31,46.9800,48.4100,39.7200,43.5200,776277394
2015-07-31,44.4600,47.4000,43.3200,46.7000,725458102
2015-06-30,47.0600,47.7700,43.9400,44.1500,664853340
2015-05-29,48.5800,48.9050,46.0200,46.8600,633072750
2015-04-30,40.6000,49.5400,40.1200,48.6400,874535095
2015-03-31,43.6700,44.1900,40.5400,40.6550,824335340
2015-02-27,40.5900,44.3000,40.2300,43.8500,656509827
2015-01-30,46.6600,47.9100,40.3500,40.4000,918738022
