Date,1. open,2. high,3. low,4. close,5. volume
2008-12-31,42.0000,54.8500,38.8200,51.2800,206194300
2008-11-28,56.3500,58.7300,34.6800,42.7000,228051500
2008-10-31,71.7800,71.9900,43.3100,57.2400,332074700
2008-09-30,83.1600,86.7700,61.3200,72.7600,192463400
2008-08-29,76.3600,91.7500,74.0500,80.8100,149044400
2008-07-31,72.2100,82.3800,62.9900,76.3400,215813300
2008-06-30,81.5400,84.8800,72.6200,73.3300,152905700
2008-05-30,78.7400,84.7500,71.5600,81.6200,152573200
2008-04-30,74.9250,82.6400,70.6500,78.6300,197849400
2008-03-31,63.5900,76.9300,61.2000,71.3000,192685600
2008-02-29,79.0200,79.4000,63.9700,64.4700,211217800
2008-01-31,95.3500,97.4300,68.8400,77.7000,288335400
