Date,1. open,2. high,3. low,4. close,5. volume
2010-12-31,315.2700,326.6600,314.8900,322.5600,249044100
2010-11-30,302.2200,321.3000,297.7600,311.1500,339574500
2010-10-29,283.7500,319.0000,277.7700,300.9800,436949200
2010-09-30,247.4700,294.7300,246.2800,283.7500,423211400
2010-08-31,260.4400,264.2800,235.5600,243.1000,342468600
2010-07-30,254.3000,265.9900,239.6000,257.2500,559632300
2010-06-30,259.6900,279.0100,242.2000,251.5300,594687600
2010-05-28,263.8400,267.8800,199.2500,256.8800,645809100
2010-04-30,237.4900,272.4600,232.7500,261.0900,441683200
2010-03-31,205.7500,237.4800,205.4500,235.0000,434077600
2010-02-26,192.3700,205.1700,190.8500,204.6200,384860000
2010-01-29,213.4300,215.5900,190.2500,192.0630,541749800
