Date,1. open,2. high,3. low,4. close,5. volume
2017-12-29,1172.0500,1194.7800,1124.7400,1169.4700,56130525
2017-11-30,1105.4000,1213.4100,1086.8700,1176.7500,76272767
2017-10-31,964.0000,1122.7900,950.3700,1105.2800,80304293
2017-09-29,984.2000,1000.0000,931.7500,961.3500,58038449
2017-08-31,990.6500,1003.2100,936.3300,980.6000,75779478
2017-07-31,972.7900,1083.3100,951.0001,987.7800,76564735
2017-06-30,998.5900,1017.0000,927.0000,968.0000,94729701
2017-05-31,927.8000,1001.2000,927.8000,994.6200,75223469
2017-04-28,888.0000,949.5900,884.4900,924.9900,72336605
2017-03-31,853.0500,890.3500,833.5000,886.5400,60722752
2017-02-28,829.2100,860.8600,803.0000,845.0400,71748231
2017-01-31,757.9200,843.8400,747.7000,823.4800,70714587
