Date,1. open,2. high,3. low,4. close,5. volume
2001-12-31,21.0600,24.0300,20.0900,21.9000,82675700
2001-11-30,17.6500,21.5500,17.2500,21.3000,95888300
2001-10-31,15.4900,19.4200,14.8300,17.5600,134718700
2001-09-28,18.5000,19.0800,14.6800,15.5100,98777200
2001-08-31,19.0100,19.9000,17.2800,18.5500,91595700
2001-07-31,23.6400,25.2200,17.8500,18.7900,154555400
2001-06-29,20.1300,25.1000,19.3500,23.2500,136397600
2001-05-31,25.4100,26.7000,19.3000,19.9500,133364900
2001-04-30,22.0900,27.1200,18.7500,25.4900,199267700
2001-03-30,17.8100,23.7500,17.1900,22.0700,192840400
2001-02-28,20.6900,21.9400,18.0000,18.2500,125424400
2001-01-31,14.8800,22.5000,14.4400,21.6200,244811800
