Date,1. open,2. high,3. low,4. close,5. volume
2009-12-31,29.5200,31.5000,29.2500,30.4800,920605500
2009-11-30,27.7000,30.1400,27.4100,29.4100,1018256700
2009-10-30,25.4050,29.3500,24.4300,27.7300,1523430100
2009-09-30,24.3500,26.2500,23.7600,25.7200,1038979700
2009-08-31,23.8200,25.4900,23.0300,24.6500,993250400
2009-07-31,24.0500,25.7200,22.0000,23.5200,1517459800
2009-06-30,21.0000,24.3400,20.8600,23.7700,1411144700
2009-05-29,20.1900,20.9400,19.0100,20.8900,1101122400
2009-04-30,18.2300,21.2000,18.1800,20.2600,1562400700
2009-03-31,16.0350,18.8800,14.8700,18.3700,1625752800
2009-02-27,17.0100,19.9300,16.1000,16.1500,1456213400
2009-01-30,19.5328,21.0000,16.7500,17.1000,1564043400
