Date,1. open,2. high,3. low,4. close,5. volume
2020-12-31,3188.5000,3350.6500,3072.8200,3256.9300,77463508
2020-11-30,3061.7400,3366.8000,2950.1200,3168.0400,90800583
2020-10-30,3208.0000,3496.2400,3019.0000,3036.1500,116252115
2020-09-30,3489.5800,3552.2500,2871.0000,3148.7300,115969967
2020-08-31,3180.5100,3495.0000,3073.0000,3450.9600,83519879
2020-07-31,2757.9900,3344.2900,2754.0000,3164.6800,127304238
2020-06-30,2448.0000,2796.0000,2437.1300,2758.8200,87845661
2020-05-29,2336.8000,2525.4500,2256.3800,2442.3700,82620883
2020-04-30,1932.9700,2475.0000,1889.1500,2474.0000,124631816
2020-03-31,1906.4900,1996.3300,1626.0300,1949.7200,163796017
2020-02-28,2010.6000,2185.9500,1811.1300,1883.7500,92555977
2020-01-31,1875.0000,2055.7200,1815.3400,2008.7200,84743300
