Date,1. open,2. high,3. low,4. close,5. volume
2012-12-31,26.7800,27.7300,26.2600,26.7097,947310900
2012-11-30,28.8400,30.2000,26.3449,26.6150,1310516100
2012-10-31,29.8100,30.2500,27.7600,28.5400,1105402300
2012-09-28,30.4500,31.6100,29.7400,29.7600,893107700
2012-08-31,29.5900,30.9600,28.9700,30.8200,671748400
2012-07-31,30.6200,31.0500,28.5400,29.4700,846604100
2012-06-29,28.7600,31.1400,28.3200,30.5900,973131400
2012-05-31,32.0500,32.3350,28.6400,29.1900,1014372600
2012-04-30,32.2200,32.8900,30.2300,32.0150,940739700
2012-03-30,31.9300,32.9500,31.4900,32.2550,942366500
2012-02-29,29.7900,32.0000,29.7100,31.7400,984332300
2012-01-31,26.5500,29.9500,26.3900,29.5300,1354858100
