Date,1. open,2. high,3. low,4. close,5. volume
2013-12-31,558.0000,575.1358,538.8000,561.0200,252049900
2013-11-29,524.0200,558.3300,512.3800,556.0700,186612700
2013-10-31,478.4500,539.2500,478.2800,522.7020,279919000
2013-09-30,493.1000,507.9200,447.2200,476.7500,308247900
2013-08-30,455.7527,513.7400,453.2600,487.2160,287797800
2013-07-31,402.6900,457.3425,401.2200,452.5300,233504100
2013-06-28,450.7300,454.4300,388.8700,396.5300,250662000
2013-05-31,444.4600,465.7500,418.9000,449.7350,337411800
2013-04-30,441.9000,445.2500,385.1000,442.7800,391553200
2013-03-28,438.0000,469.9500,419.0000,442.6600,327745600
2013-02-28,459.1100,484.9400,437.6600,441.4000,333715500
2013-01-31,553.8200,555.0000,435.0000,455.4900,468693700
